"site","precision","deviation","measure","estimate","parent"
132,1.07,0.934579439252336,"outer_lower",-2.80373831775701,"3 Std. Dev."
133,1.07,0.934579439252336,"outer_lower",-2.80373831775701,"3 Std. Dev."
134,1.08,0.925925925925926,"outer_lower",-2.77777777777778,"3 Std. Dev."
135,1.09,0.91743119266055,"outer_lower",-2.75229357798165,"3 Std. Dev."
136,1.1,0.909090909090909,"outer_lower",-2.72727272727273,"3 Std. Dev."
137,1.11,0.900900900900901,"outer_lower",-2.7027027027027,"3 Std. Dev."
138,1.11,0.900900900900901,"outer_lower",-2.7027027027027,"3 Std. Dev."
139,1.11,0.900900900900901,"outer_lower",-2.7027027027027,"3 Std. Dev."
140,1.11,0.900900900900901,"outer_lower",-2.7027027027027,"3 Std. Dev."
141,1.12,0.892857142857143,"outer_lower",-2.67857142857143,"3 Std. Dev."
142,1.14,0.87719298245614,"outer_lower",-2.63157894736842,"3 Std. Dev."
143,1.14,0.87719298245614,"outer_lower",-2.63157894736842,"3 Std. Dev."
144,1.16,0.862068965517241,"outer_lower",-2.58620689655172,"3 Std. Dev."
145,1.17,0.854700854700855,"outer_lower",-2.56410256410256,"3 Std. Dev."
146,1.19,0.840336134453782,"outer_lower",-2.52100840336134,"3 Std. Dev."
147,1.19,0.840336134453782,"outer_lower",-2.52100840336134,"3 Std. Dev."
148,1.2,0.833333333333333,"outer_lower",-2.5,"3 Std. Dev."
149,1.2,0.833333333333333,"outer_lower",-2.5,"3 Std. Dev."
150,1.2,0.833333333333333,"outer_lower",-2.5,"3 Std. Dev."
151,1.21,0.826446280991736,"outer_lower",-2.47933884297521,"3 Std. Dev."
152,1.22,0.819672131147541,"outer_lower",-2.45901639344262,"3 Std. Dev."
153,1.23,0.813008130081301,"outer_lower",-2.4390243902439,"3 Std. Dev."
154,1.23,0.813008130081301,"outer_lower",-2.4390243902439,"3 Std. Dev."
155,1.25,0.8,"outer_lower",-2.4,"3 Std. Dev."
156,1.26,0.793650793650794,"outer_lower",-2.38095238095238,"3 Std. Dev."
157,1.26,0.793650793650794,"outer_lower",-2.38095238095238,"3 Std. Dev."
158,1.28,0.78125,"outer_lower",-2.34375,"3 Std. Dev."
159,1.29,0.775193798449612,"outer_lower",-2.32558139534884,"3 Std. Dev."
160,1.29,0.775193798449612,"outer_lower",-2.32558139534884,"3 Std. Dev."
161,1.31,0.763358778625954,"outer_lower",-2.29007633587786,"3 Std. Dev."
162,1.31,0.763358778625954,"outer_lower",-2.29007633587786,"3 Std. Dev."
163,1.32,0.757575757575758,"outer_lower",-2.27272727272727,"3 Std. Dev."
164,1.32,0.757575757575758,"outer_lower",-2.27272727272727,"3 Std. Dev."
165,1.33,0.75187969924812,"outer_lower",-2.25563909774436,"3 Std. Dev."
166,1.34,0.746268656716418,"outer_lower",-2.23880597014925,"3 Std. Dev."
167,1.36,0.735294117647059,"outer_lower",-2.20588235294118,"3 Std. Dev."
168,1.37,0.72992700729927,"outer_lower",-2.18978102189781,"3 Std. Dev."
169,1.37,0.72992700729927,"outer_lower",-2.18978102189781,"3 Std. Dev."
170,1.39,0.719424460431655,"outer_lower",-2.15827338129496,"3 Std. Dev."
171,1.4,0.714285714285714,"outer_lower",-2.14285714285714,"3 Std. Dev."
172,1.4,0.714285714285714,"outer_lower",-2.14285714285714,"3 Std. Dev."
173,1.43,0.699300699300699,"outer_lower",-2.0979020979021,"3 Std. Dev."
174,1.48,0.675675675675676,"outer_lower",-2.02702702702703,"3 Std. Dev."
175,1.49,0.671140939597315,"outer_lower",-2.01342281879195,"3 Std. Dev."
176,1.55,0.645161290322581,"outer_lower",-1.93548387096774,"3 Std. Dev."
177,1.55,0.645161290322581,"outer_lower",-1.93548387096774,"3 Std. Dev."
178,1.57,0.636942675159236,"outer_lower",-1.91082802547771,"3 Std. Dev."
179,1.63,0.613496932515337,"outer_lower",-1.84049079754601,"3 Std. Dev."
180,1.66,0.602409638554217,"outer_lower",-1.80722891566265,"3 Std. Dev."
181,1.7,0.588235294117647,"outer_lower",-1.76470588235294,"3 Std. Dev."
182,1.71,0.584795321637427,"outer_lower",-1.75438596491228,"3 Std. Dev."
183,1.76,0.568181818181818,"outer_lower",-1.70454545454545,"3 Std. Dev."
184,1.82,0.549450549450549,"outer_lower",-1.64835164835165,"3 Std. Dev."
185,1.83,0.546448087431694,"outer_lower",-1.63934426229508,"3 Std. Dev."
186,1.88,0.531914893617021,"outer_lower",-1.59574468085106,"3 Std. Dev."
187,2,0.5,"outer_lower",-1.5,"3 Std. Dev."
188,2,0.5,"outer_lower",-1.5,"3 Std. Dev."
189,2.03,0.492610837438424,"outer_lower",-1.47783251231527,"3 Std. Dev."
190,2.05,0.487804878048781,"outer_lower",-1.46341463414634,"3 Std. Dev."
191,2.14,0.467289719626168,"outer_lower",-1.4018691588785,"3 Std. Dev."
192,2.17,0.460829493087558,"outer_lower",-1.38248847926267,"3 Std. Dev."
193,2.2,0.454545454545455,"outer_lower",-1.36363636363636,"3 Std. Dev."
194,2.22,0.45045045045045,"outer_lower",-1.35135135135135,"3 Std. Dev."
195,2.26,0.442477876106195,"outer_lower",-1.32743362831858,"3 Std. Dev."
196,2.32,0.431034482758621,"outer_lower",-1.29310344827586,"3 Std. Dev."
197,2.35,0.425531914893617,"outer_lower",-1.27659574468085,"3 Std. Dev."
198,2.35,0.425531914893617,"outer_lower",-1.27659574468085,"3 Std. Dev."
199,2.4,0.416666666666667,"outer_lower",-1.25,"3 Std. Dev."
200,2.47,0.404858299595142,"outer_lower",-1.21457489878543,"3 Std. Dev."
201,2.52,0.396825396825397,"outer_lower",-1.19047619047619,"3 Std. Dev."
202,2.59,0.386100386100386,"outer_lower",-1.15830115830116,"3 Std. Dev."
203,2.6,0.384615384615385,"outer_lower",-1.15384615384615,"3 Std. Dev."
204,2.7,0.37037037037037,"outer_lower",-1.11111111111111,"3 Std. Dev."
205,2.79,0.3584229390681,"outer_lower",-1.0752688172043,"3 Std. Dev."
1,0.18,5.55555555555556,"outer_upper",16.6666666666667,"3 Std. Dev."
2,0.19,5.26315789473684,"outer_upper",15.7894736842105,"3 Std. Dev."
3,0.25,4,"outer_upper",12,"3 Std. Dev."
4,0.29,3.44827586206897,"outer_upper",10.3448275862069,"3 Std. Dev."
5,0.3,3.33333333333333,"outer_upper",10,"3 Std. Dev."
6,0.34,2.94117647058824,"outer_upper",8.8235294117647,"3 Std. Dev."
7,0.34,2.94117647058824,"outer_upper",8.8235294117647,"3 Std. Dev."
8,0.34,2.94117647058824,"outer_upper",8.8235294117647,"3 Std. Dev."
9,0.35,2.85714285714286,"outer_upper",8.57142857142857,"3 Std. Dev."
10,0.37,2.7027027027027,"outer_upper",8.10810810810811,"3 Std. Dev."
11,0.4,2.5,"outer_upper",7.5,"3 Std. Dev."
12,0.41,2.4390243902439,"outer_upper",7.31707317073171,"3 Std. Dev."
13,0.41,2.4390243902439,"outer_upper",7.31707317073171,"3 Std. Dev."
14,0.41,2.4390243902439,"outer_upper",7.31707317073171,"3 Std. Dev."
15,0.42,2.38095238095238,"outer_upper",7.14285714285714,"3 Std. Dev."
16,0.42,2.38095238095238,"outer_upper",7.14285714285714,"3 Std. Dev."
17,0.43,2.32558139534884,"outer_upper",6.97674418604651,"3 Std. Dev."
18,0.43,2.32558139534884,"outer_upper",6.97674418604651,"3 Std. Dev."
19,0.44,2.27272727272727,"outer_upper",6.81818181818182,"3 Std. Dev."
20,0.45,2.22222222222222,"outer_upper",6.66666666666667,"3 Std. Dev."
21,0.46,2.17391304347826,"outer_upper",6.52173913043478,"3 Std. Dev."
22,0.48,2.08333333333333,"outer_upper",6.25,"3 Std. Dev."
23,0.51,1.96078431372549,"outer_upper",5.88235294117647,"3 Std. Dev."
24,0.55,1.81818181818182,"outer_upper",5.45454545454545,"3 Std. Dev."
25,0.55,1.81818181818182,"outer_upper",5.45454545454545,"3 Std. Dev."
26,0.55,1.81818181818182,"outer_upper",5.45454545454545,"3 Std. Dev."
27,0.57,1.75438596491228,"outer_upper",5.26315789473684,"3 Std. Dev."
28,0.57,1.75438596491228,"outer_upper",5.26315789473684,"3 Std. Dev."
29,0.59,1.69491525423729,"outer_upper",5.08474576271187,"3 Std. Dev."
30,0.59,1.69491525423729,"outer_upper",5.08474576271187,"3 Std. Dev."
31,0.6,1.66666666666667,"outer_upper",5,"3 Std. Dev."
32,0.6,1.66666666666667,"outer_upper",5,"3 Std. Dev."
33,0.61,1.63934426229508,"outer_upper",4.91803278688525,"3 Std. Dev."
34,0.61,1.63934426229508,"outer_upper",4.91803278688525,"3 Std. Dev."
35,0.62,1.61290322580645,"outer_upper",4.83870967741935,"3 Std. Dev."
36,0.62,1.61290322580645,"outer_upper",4.83870967741935,"3 Std. Dev."
37,0.62,1.61290322580645,"outer_upper",4.83870967741935,"3 Std. Dev."
38,0.63,1.58730158730159,"outer_upper",4.76190476190476,"3 Std. Dev."
39,0.64,1.5625,"outer_upper",4.6875,"3 Std. Dev."
40,0.65,1.53846153846154,"outer_upper",4.61538461538461,"3 Std. Dev."
41,0.66,1.51515151515152,"outer_upper",4.54545454545454,"3 Std. Dev."
42,0.67,1.49253731343284,"outer_upper",4.47761194029851,"3 Std. Dev."
43,0.68,1.47058823529412,"outer_upper",4.41176470588235,"3 Std. Dev."
44,0.68,1.47058823529412,"outer_upper",4.41176470588235,"3 Std. Dev."
45,0.7,1.42857142857143,"outer_upper",4.28571428571429,"3 Std. Dev."
46,0.7,1.42857142857143,"outer_upper",4.28571428571429,"3 Std. Dev."
47,0.7,1.42857142857143,"outer_upper",4.28571428571429,"3 Std. Dev."
48,0.71,1.40845070422535,"outer_upper",4.22535211267606,"3 Std. Dev."
49,0.71,1.40845070422535,"outer_upper",4.22535211267606,"3 Std. Dev."
50,0.73,1.36986301369863,"outer_upper",4.10958904109589,"3 Std. Dev."
51,0.73,1.36986301369863,"outer_upper",4.10958904109589,"3 Std. Dev."
52,0.74,1.35135135135135,"outer_upper",4.05405405405405,"3 Std. Dev."
53,0.74,1.35135135135135,"outer_upper",4.05405405405405,"3 Std. Dev."
54,0.77,1.2987012987013,"outer_upper",3.8961038961039,"3 Std. Dev."
55,0.77,1.2987012987013,"outer_upper",3.8961038961039,"3 Std. Dev."
56,0.77,1.2987012987013,"outer_upper",3.8961038961039,"3 Std. Dev."
57,0.77,1.2987012987013,"outer_upper",3.8961038961039,"3 Std. Dev."
58,0.79,1.26582278481013,"outer_upper",3.79746835443038,"3 Std. Dev."
59,0.79,1.26582278481013,"outer_upper",3.79746835443038,"3 Std. Dev."
60,0.8,1.25,"outer_upper",3.75,"3 Std. Dev."
61,0.8,1.25,"outer_upper",3.75,"3 Std. Dev."
62,0.8,1.25,"outer_upper",3.75,"3 Std. Dev."
63,0.8,1.25,"outer_upper",3.75,"3 Std. Dev."
64,0.81,1.23456790123457,"outer_upper",3.7037037037037,"3 Std. Dev."
65,0.81,1.23456790123457,"outer_upper",3.7037037037037,"3 Std. Dev."
66,0.81,1.23456790123457,"outer_upper",3.7037037037037,"3 Std. Dev."
67,0.83,1.20481927710843,"outer_upper",3.6144578313253,"3 Std. Dev."
68,0.83,1.20481927710843,"outer_upper",3.6144578313253,"3 Std. Dev."
69,0.83,1.20481927710843,"outer_upper",3.6144578313253,"3 Std. Dev."
70,0.83,1.20481927710843,"outer_upper",3.6144578313253,"3 Std. Dev."
71,0.84,1.19047619047619,"outer_upper",3.57142857142857,"3 Std. Dev."
72,0.84,1.19047619047619,"outer_upper",3.57142857142857,"3 Std. Dev."
73,0.84,1.19047619047619,"outer_upper",3.57142857142857,"3 Std. Dev."
74,0.85,1.17647058823529,"outer_upper",3.52941176470588,"3 Std. Dev."
75,0.85,1.17647058823529,"outer_upper",3.52941176470588,"3 Std. Dev."
76,0.86,1.16279069767442,"outer_upper",3.48837209302326,"3 Std. Dev."
77,0.86,1.16279069767442,"outer_upper",3.48837209302326,"3 Std. Dev."
78,0.87,1.14942528735632,"outer_upper",3.44827586206897,"3 Std. Dev."
79,0.87,1.14942528735632,"outer_upper",3.44827586206897,"3 Std. Dev."
80,0.87,1.14942528735632,"outer_upper",3.44827586206897,"3 Std. Dev."
81,0.88,1.13636363636364,"outer_upper",3.40909090909091,"3 Std. Dev."
82,0.89,1.12359550561798,"outer_upper",3.37078651685393,"3 Std. Dev."
83,0.89,1.12359550561798,"outer_upper",3.37078651685393,"3 Std. Dev."
84,0.89,1.12359550561798,"outer_upper",3.37078651685393,"3 Std. Dev."
85,0.89,1.12359550561798,"outer_upper",3.37078651685393,"3 Std. Dev."
86,0.9,1.11111111111111,"outer_upper",3.33333333333333,"3 Std. Dev."
87,0.9,1.11111111111111,"outer_upper",3.33333333333333,"3 Std. Dev."
88,0.9,1.11111111111111,"outer_upper",3.33333333333333,"3 Std. Dev."
89,0.9,1.11111111111111,"outer_upper",3.33333333333333,"3 Std. Dev."
90,0.91,1.0989010989011,"outer_upper",3.2967032967033,"3 Std. Dev."
91,0.91,1.0989010989011,"outer_upper",3.2967032967033,"3 Std. Dev."
92,0.92,1.08695652173913,"outer_upper",3.26086956521739,"3 Std. Dev."
93,0.92,1.08695652173913,"outer_upper",3.26086956521739,"3 Std. Dev."
94,0.92,1.08695652173913,"outer_upper",3.26086956521739,"3 Std. Dev."
95,0.93,1.0752688172043,"outer_upper",3.2258064516129,"3 Std. Dev."
96,0.93,1.0752688172043,"outer_upper",3.2258064516129,"3 Std. Dev."
97,0.93,1.0752688172043,"outer_upper",3.2258064516129,"3 Std. Dev."
98,0.93,1.0752688172043,"outer_upper",3.2258064516129,"3 Std. Dev."
99,0.93,1.0752688172043,"outer_upper",3.2258064516129,"3 Std. Dev."
100,0.94,1.06382978723404,"outer_upper",3.19148936170213,"3 Std. Dev."
101,0.94,1.06382978723404,"outer_upper",3.19148936170213,"3 Std. Dev."
102,0.95,1.05263157894737,"outer_upper",3.15789473684211,"3 Std. Dev."
103,0.95,1.05263157894737,"outer_upper",3.15789473684211,"3 Std. Dev."
104,0.95,1.05263157894737,"outer_upper",3.15789473684211,"3 Std. Dev."
105,0.96,1.04166666666667,"outer_upper",3.125,"3 Std. Dev."
106,0.96,1.04166666666667,"outer_upper",3.125,"3 Std. Dev."
107,0.97,1.03092783505155,"outer_upper",3.09278350515464,"3 Std. Dev."
108,0.97,1.03092783505155,"outer_upper",3.09278350515464,"3 Std. Dev."
109,0.98,1.02040816326531,"outer_upper",3.06122448979592,"3 Std. Dev."
110,0.98,1.02040816326531,"outer_upper",3.06122448979592,"3 Std. Dev."
111,0.98,1.02040816326531,"outer_upper",3.06122448979592,"3 Std. Dev."
112,0.99,1.01010101010101,"outer_upper",3.03030303030303,"3 Std. Dev."
113,0.99,1.01010101010101,"outer_upper",3.03030303030303,"3 Std. Dev."
114,0.99,1.01010101010101,"outer_upper",3.03030303030303,"3 Std. Dev."
115,1,1,"outer_upper",3,"3 Std. Dev."
116,1,1,"outer_upper",3,"3 Std. Dev."
117,1,1,"outer_upper",3,"3 Std. Dev."
118,1,1,"outer_upper",3,"3 Std. Dev."
119,1.01,0.99009900990099,"outer_upper",2.97029702970297,"3 Std. Dev."
120,1.01,0.99009900990099,"outer_upper",2.97029702970297,"3 Std. Dev."
121,1.02,0.980392156862745,"outer_upper",2.94117647058824,"3 Std. Dev."
122,1.02,0.980392156862745,"outer_upper",2.94117647058824,"3 Std. Dev."
123,1.02,0.980392156862745,"outer_upper",2.94117647058824,"3 Std. Dev."
124,1.02,0.980392156862745,"outer_upper",2.94117647058824,"3 Std. Dev."
125,1.03,0.970873786407767,"outer_upper",2.9126213592233,"3 Std. Dev."
126,1.03,0.970873786407767,"outer_upper",2.9126213592233,"3 Std. Dev."
127,1.03,0.970873786407767,"outer_upper",2.9126213592233,"3 Std. Dev."
128,1.06,0.943396226415094,"outer_upper",2.83018867924528,"3 Std. Dev."
129,1.06,0.943396226415094,"outer_upper",2.83018867924528,"3 Std. Dev."
130,1.06,0.943396226415094,"outer_upper",2.83018867924528,"3 Std. Dev."
131,1.07,0.934579439252336,"outer_upper",2.80373831775701,"3 Std. Dev."
132,1.07,0.934579439252336,"outer_upper",2.80373831775701,"3 Std. Dev."
133,1.07,0.934579439252336,"outer_upper",2.80373831775701,"3 Std. Dev."
134,1.08,0.925925925925926,"outer_upper",2.77777777777778,"3 Std. Dev."
135,1.09,0.91743119266055,"outer_upper",2.75229357798165,"3 Std. Dev."
136,1.1,0.909090909090909,"outer_upper",2.72727272727273,"3 Std. Dev."
137,1.11,0.900900900900901,"outer_upper",2.7027027027027,"3 Std. Dev."
138,1.11,0.900900900900901,"outer_upper",2.7027027027027,"3 Std. Dev."
139,1.11,0.900900900900901,"outer_upper",2.7027027027027,"3 Std. Dev."
140,1.11,0.900900900900901,"outer_upper",2.7027027027027,"3 Std. Dev."
141,1.12,0.892857142857143,"outer_upper",2.67857142857143,"3 Std. Dev."
142,1.14,0.87719298245614,"outer_upper",2.63157894736842,"3 Std. Dev."
143,1.14,0.87719298245614,"outer_upper",2.63157894736842,"3 Std. Dev."
144,1.16,0.862068965517241,"outer_upper",2.58620689655172,"3 Std. Dev."
145,1.17,0.854700854700855,"outer_upper",2.56410256410256,"3 Std. Dev."
146,1.19,0.840336134453782,"outer_upper",2.52100840336134,"3 Std. Dev."
147,1.19,0.840336134453782,"outer_upper",2.52100840336134,"3 Std. Dev."
148,1.2,0.833333333333333,"outer_upper",2.5,"3 Std. Dev."
149,1.2,0.833333333333333,"outer_upper",2.5,"3 Std. Dev."
150,1.2,0.833333333333333,"outer_upper",2.5,"3 Std. Dev."
151,1.21,0.826446280991736,"outer_upper",2.47933884297521,"3 Std. Dev."
152,1.22,0.819672131147541,"outer_upper",2.45901639344262,"3 Std. Dev."
153,1.23,0.813008130081301,"outer_upper",2.4390243902439,"3 Std. Dev."
154,1.23,0.813008130081301,"outer_upper",2.4390243902439,"3 Std. Dev."
155,1.25,0.8,"outer_upper",2.4,"3 Std. Dev."
156,1.26,0.793650793650794,"outer_upper",2.38095238095238,"3 Std. Dev."
157,1.26,0.793650793650794,"outer_upper",2.38095238095238,"3 Std. Dev."
158,1.28,0.78125,"outer_upper",2.34375,"3 Std. Dev."
159,1.29,0.775193798449612,"outer_upper",2.32558139534884,"3 Std. Dev."
160,1.29,0.775193798449612,"outer_upper",2.32558139534884,"3 Std. Dev."
161,1.31,0.763358778625954,"outer_upper",2.29007633587786,"3 Std. Dev."
162,1.31,0.763358778625954,"outer_upper",2.29007633587786,"3 Std. Dev."
163,1.32,0.757575757575758,"outer_upper",2.27272727272727,"3 Std. Dev."
164,1.32,0.757575757575758,"outer_upper",2.27272727272727,"3 Std. Dev."
165,1.33,0.75187969924812,"outer_upper",2.25563909774436,"3 Std. Dev."
166,1.34,0.746268656716418,"outer_upper",2.23880597014925,"3 Std. Dev."
167,1.36,0.735294117647059,"outer_upper",2.20588235294118,"3 Std. Dev."
168,1.37,0.72992700729927,"outer_upper",2.18978102189781,"3 Std. Dev."
169,1.37,0.72992700729927,"outer_upper",2.18978102189781,"3 Std. Dev."
170,1.39,0.719424460431655,"outer_upper",2.15827338129496,"3 Std. Dev."
171,1.4,0.714285714285714,"outer_upper",2.14285714285714,"3 Std. Dev."
172,1.4,0.714285714285714,"outer_upper",2.14285714285714,"3 Std. Dev."
173,1.43,0.699300699300699,"outer_upper",2.0979020979021,"3 Std. Dev."
174,1.48,0.675675675675676,"outer_upper",2.02702702702703,"3 Std. Dev."
175,1.49,0.671140939597315,"outer_upper",2.01342281879195,"3 Std. Dev."
176,1.55,0.645161290322581,"outer_upper",1.93548387096774,"3 Std. Dev."
177,1.55,0.645161290322581,"outer_upper",1.93548387096774,"3 Std. Dev."
178,1.57,0.636942675159236,"outer_upper",1.91082802547771,"3 Std. Dev."
179,1.63,0.613496932515337,"outer_upper",1.84049079754601,"3 Std. Dev."
180,1.66,0.602409638554217,"outer_upper",1.80722891566265,"3 Std. Dev."
181,1.7,0.588235294117647,"outer_upper",1.76470588235294,"3 Std. Dev."
182,1.71,0.584795321637427,"outer_upper",1.75438596491228,"3 Std. Dev."
183,1.76,0.568181818181818,"outer_upper",1.70454545454545,"3 Std. Dev."
184,1.82,0.549450549450549,"outer_upper",1.64835164835165,"3 Std. Dev."
185,1.83,0.546448087431694,"outer_upper",1.63934426229508,"3 Std. Dev."
186,1.88,0.531914893617021,"outer_upper",1.59574468085106,"3 Std. Dev."
187,2,0.5,"outer_upper",1.5,"3 Std. Dev."
188,2,0.5,"outer_upper",1.5,"3 Std. Dev."
189,2.03,0.492610837438424,"outer_upper",1.47783251231527,"3 Std. Dev."
190,2.05,0.487804878048781,"outer_upper",1.46341463414634,"3 Std. Dev."
191,2.14,0.467289719626168,"outer_upper",1.4018691588785,"3 Std. Dev."
192,2.17,0.460829493087558,"outer_upper",1.38248847926267,"3 Std. Dev."
193,2.2,0.454545454545455,"outer_upper",1.36363636363636,"3 Std. Dev."
194,2.22,0.45045045045045,"outer_upper",1.35135135135135,"3 Std. Dev."
195,2.26,0.442477876106195,"outer_upper",1.32743362831858,"3 Std. Dev."
196,2.32,0.431034482758621,"outer_upper",1.29310344827586,"3 Std. Dev."
197,2.35,0.425531914893617,"outer_upper",1.27659574468085,"3 Std. Dev."
198,2.35,0.425531914893617,"outer_upper",1.27659574468085,"3 Std. Dev."
199,2.4,0.416666666666667,"outer_upper",1.25,"3 Std. Dev."
200,2.47,0.404858299595142,"outer_upper",1.21457489878543,"3 Std. Dev."
201,2.52,0.396825396825397,"outer_upper",1.19047619047619,"3 Std. Dev."
202,2.59,0.386100386100386,"outer_upper",1.15830115830116,"3 Std. Dev."
203,2.6,0.384615384615385,"outer_upper",1.15384615384615,"3 Std. Dev."
204,2.7,0.37037037037037,"outer_upper",1.11111111111111,"3 Std. Dev."
205,2.79,0.3584229390681,"outer_upper",1.0752688172043,"3 Std. Dev."
